,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
370,2018-10-26,18.49,18.780001000000002,17.049999,17.629998999999998,17.629998999999998,119689000,9.302331781187293
371,2018-10-29,18.209999,18.23,16.27,16.85,16.85,94479600,4.629074183976241
372,2018-10-30,16.379998999999998,17.24,16.17,17.200001,17.200001,99049400,-2.03488941657619
373,2018-10-31,17.870001000000002,18.34,17.120001000000002,18.209999,18.209999,110463700,-5.546392396836483
374,2018-11-01,18.41,20.33,18.08,20.219998999999998,20.219998999999998,136896500,-9.940653310615883
375,2018-11-02,20.59,21.059998999999998,19.469998999999998,20.23,20.23,123788000,-0.049436480474555566
376,2018-11-05,20.120001000000002,20.18,18.879998999999998,19.9,19.9,108016700,1.6582914572864416
377,2018-11-06,19.5,21.65,19.48,20.68,20.68,144995700,-3.771760154738884
378,2018-11-07,21.42,22.219998999999998,21.07,21.84,21.84,121115800,-5.311355311355312
379,2018-11-08,21.77,22.08,20.969998999999998,21.200001,21.200001,92387600,3.018863065147966
380,2018-11-09,20.77,21.190001000000002,20.110001,21.030001000000002,21.030001000000002,85900700,0.8083689582325656
381,2018-11-12,20.68,20.85,18.799999,19.030001000000002,19.030001000000002,95948200,10.50972094010925
382,2018-11-13,19.280001000000002,20.02,18.969998999999998,19.610001,19.610001,76126000,-2.9576745049630455
383,2018-11-14,20.18,21.110001,19.76,20.809998999999998,20.809998999999998,106344300,-5.766449099781299
384,2018-11-15,20.719998999999998,21.77,20.42,21.49,21.49,97715500,-3.164267100977202
385,2018-11-16,19.870001000000002,20.969998999999998,19.719998999999998,20.66,20.66,112376600,4.017424975798637
386,2018-11-19,20.4,20.59,19.09,19.110001,19.110001,93578200,8.110931025069018
387,2018-11-20,17.4,19.58,17.18,19.209999,19.209999,109869400,-0.5205518230375721
388,2018-11-21,20.049999,20.309998999999998,18.5,18.73,18.73,81585600,2.562728243459687
389,2018-11-23,18.610001,19.83,18.559998999999998,19.379998999999998,19.379998999999998,54611300,-3.353968181319295
390,2018-11-26,19.959999,20.190001000000002,19.110001,20.08,20.08,83211000,-3.486060756972113
391,2018-11-27,19.77,21.450001,19.73,21.049999,21.049999,119230100,-4.608071477818129
392,2018-11-28,21.82,21.879998999999998,20.18,21.34,21.34,134425300,-1.3589550140581077
393,2018-11-29,21.190001000000002,21.610001,20.73,21.43,21.43,79853700,-0.4199720018665416
394,2018-11-30,21.299999,21.360001,20.52,21.299999,21.299999,82370700,0.610333361987482
395,2018-12-03,22.48,23.75,22.370001000000002,23.709999,23.709999,139607400,-10.164487986692873
396,2018-12-04,23.35,23.42,21.07,21.120001000000002,21.120001000000002,127392900,12.263247525414405
397,2018-12-06,20.219998999999998,21.41,20.059998999999998,21.299999,21.299999,103434700,-0.8450610725380675
398,2018-12-07,21.299999,21.379998999999998,19.17,19.459999,19.459999,105764500,9.455293394413843
399,2018-12-10,19.35,20.129998999999998,19.27,19.99,19.99,77984500,-2.6513306653326594
400,2018-12-11,20.709999,21.139999,19.690001000000002,19.98,19.98,88027400,0.050050050050040096
401,2018-12-12,20.32,21.02,19.709999,20.48,20.48,100340700,-2.44140625
402,2018-12-13,20.629998999999998,20.870001000000002,19.76,19.860001,19.860001,88108300,3.121847778356104
403,2018-12-14,19.58,20.700001,19.52,19.9,19.9,84713600,-0.20099999999999055
404,2018-12-17,20.01,20.02,18.639999,18.83,18.83,115437900,5.682421667551782
405,2018-12-18,19.15,19.84,18.879998999999998,19.5,19.5,101512900,-3.435897435897445
406,2018-12-19,19.440001000000002,19.719998999999998,18.0,18.16,18.16,120644500,7.37885462555066
407,2018-12-20,18.110001,18.860001,17.34,17.940001000000002,17.940001000000002,119394500,1.2263042794702064
408,2018-12-21,18.120001000000002,18.34,16.76,16.93,16.93,132246000,5.965747194329608
409,2018-12-24,16.52,17.219998999999998,16.370001000000002,16.65,16.65,62933100,1.6816816816816886
410,2018-12-26,16.879998999999998,17.91,16.030001000000002,17.9,17.9,108811800,-6.983240223463688
411,2018-12-27,17.43,17.74,16.440001000000002,17.49,17.49,111373000,2.344196683819326
412,2018-12-28,17.530001000000002,18.309998999999998,17.139999,17.82,17.82,109214400,-1.851851851851862
413,2018-12-31,18.15,18.51,17.85,18.459999,18.459999,84732200,-3.466950350322335
414,2019-01-02,18.01,19.0,17.98,18.83,18.83,87148700,-1.9649548592671189
415,2019-01-03,18.42,18.68,16.940001000000002,17.049999,17.049999,117277600,10.43988917536006
416,2019-01-04,17.549999,19.07,17.43,19.0,19.0,111878600,-10.26316315789474
417,2019-01-07,19.440001000000002,20.68,19.0,20.57,20.57,107157000,-7.632474477394265
418,2019-01-08,21.190001000000002,21.200001,19.68,20.75,20.75,121271000,-0.867469879518071
419,2019-01-09,20.889999,21.440001000000002,20.07,20.190001000000002,20.190001000000002,163944100,2.773645231617362
420,2019-01-10,19.76,19.83,18.9,19.74,19.74,115629400,2.279640324214812
421,2019-01-11,19.469998999999998,20.35,19.190001000000002,20.27,20.27,85110800,-2.6147015293537303
422,2019-01-14,19.959999,20.620001000000002,19.75,20.23,20.23,71350200,0.19772614928323848
423,2019-01-15,20.440001000000002,20.68,20.26,20.379998999999998,20.379998999999998,62785800,-0.7360108310113144
424,2019-01-16,20.4,20.540001,19.709999,19.73,19.73,70849300,3.2944703497212244
425,2019-01-17,19.49,20.51,19.02,20.25,20.25,85018400,-2.567901234567899
426,2019-01-18,20.370001000000002,21.049999,20.02,20.77,20.77,88131000,-2.5036109773712063
427,2019-01-22,20.48,20.92,19.700001,19.76,19.76,78513700,5.111336032388653
428,2019-01-23,20.030001000000002,20.48,19.549999,19.799999,19.799999,77811300,-0.20201516171792794
429,2019-01-24,20.059998999999998,21.01,20.040001,20.85,20.85,97433400,-5.035976019184661
430,2019-01-25,20.99,22.030001000000002,20.790001,21.93,21.93,110239500,-4.924760601915177
431,2019-01-28,20.32,21.01,20.02,20.18,20.18,135164100,8.67195242814668
432,2019-01-29,20.26,20.389999,19.049999,19.25,19.25,131202500,4.83116883116883
